region,X,Y
北京,62361.2,39842.7
天津,39506.1,29902.9
河北,23445.7,16722.0
山西,21990.1,14810.1
内蒙古,28375.7,19665.2
辽宁,29701.4,21398.3
吉林,22798.4,17200.4
黑龙江,22725.8,16994.0
上海,64182.6,43351.3
江苏,38095.8,25007.4
浙江,45839.8,29470.7
安徽,23983.6,17044.6
福建,32643.9,22996.0
江西,24079.7,15792.0
山东,29204.6,18779.8
河南,21963.5,15168.5
湖北,25814.5,19537.8
湖南,25240.7,18807.9
广东,35809.9,26054.0
广西,21485.0,14934.8
海南,24579.0,17528.4
重庆,26385.8,19248.5
四川,22460.6,17663.6
贵州,18430.2,13798.1
云南,20084.2,14249.9
西藏,17286.1,11520.2
陕西,22528.3,16159.7
甘肃,17488.4,14624.0
青海,20757.3,16557.2
宁夏,22400.4,16715.1
新疆,21500.2,16189.1
